@relation aggregation

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute decision {label2,label7,label4,label3,label6,label1,label5}

@data
32.65,4.4,label3
33.65,4.6,label3
33.05,5.15,label3
33.6,5.45,label3
34.5,5.05,label3
34.9,4.65,label3
35.45,4.1,label3
34.6,4.05,label3
34.2,4.2,label3
36.3,5.2,label3
35.55,5.35,label3
35.95,6.05,label3
34.8,5.85,label3
33.7,6.15,label3
33.95,6.6,label3
33.7,7.05,label3
32.75,7.1,label3
32.3,7.65,label3
33,7.9,label3
31.95,8.15,label3
31.15,8.65,label3
30.35,8.85,label3
29.85,9,label3
30.7,9.15,label3
29.7,9.9,label3
30.45,9.95,label3
30.95,9.85,label3
31.8,9.45,label3
32.45,8.8,label3
33.55,8.6,label3
34.35,7.7,label3
34.7,8,label3
34.6,7.25,label3
35,6.8,label3
35.5,7.35,label3
36.1,7.5,label3
36.55,7,label3
36,8.2,label3
35.35,8.05,label3
36.55,8.65,label3
36.4,9.1,label3
35.5,9.1,label3
34.55,8.85,label3
35.25,9.4,label3
34.4,9.5,label3
33.5,9.3,label3
33.85,9.8,label3
32.5,9.65,label3
32.3,10.25,label3
33.3,10.3,label3
31.6,10.5,label3
30.6,10.5,label3
30.4,11.1,label3
30.9,11.45,label3
30.7,11.65,label3
30.4,12.05,label3
31.2,12,label3
31.95,11.35,label3
31.65,11.05,label3
32.95,11.15,label3
32.65,11.7,label3
32.25,12.25,label3
32.05,12.25,label3
31.3,12.7,label3
31.95,12.95,label3
32.75,13.1,label3
33.15,13.2,label3
33.1,12.75,label3
33.15,12.1,label3
34.3,11.75,label3
34,10.85,label3
34.65,11,label3
34.8,10.1,label3
35.65,9.85,label3
36.35,10,label3
35.55,10.75,label3
35.8,11.55,label3
35.2,11.75,label3
34.7,11.75,label3
34.95,12.75,label3
34.05,12.55,label3
34.05,13.05,label3
33.25,13.7,label3
33.2,14.15,label3
33.25,14.7,label6
33,15.15,label6
32.95,15.65,label6
32.6,16.15,label6
32.45,16.75,label6
32.65,17.05,label6
32.75,17.3,label6
31.75,17.2,label6
31.7,17.65,label6
31,17.5,label6
31.15,17.9,label6
30.45,18.05,label6
30.05,18.8,label6
30.55,18.8,label6
30.5,19.3,label6
30.25,19.4,label6
29.6,19.85,label6
29.15,20.55,label6
30.25,20.45,label6
30.7,20.05,label6
31,19.9,label6
31.55,19.65,label6
31.5,18.55,label6
32.05,18.6,label6
31.95,19.1,label6
32.6,18.35,label6
32.85,17.95,label6
33.45,17.45,label6
33.7,17,label6
34.25,17.35,label6
34.3,18.05,label6
33.85,18.4,label6
33.05,18.85,label6
33.25,18.95,label6
32.8,19.15,label6
32.3,19.85,label6
32.8,20,label6
31.75,20.25,label6
31.75,20.75,label6
32.1,21.15,label6
31.55,21.6,label6
30.65,21.3,label6
29.95,21.6,label6
29.5,21.6,label6
30.35,22.05,label6
31.05,22,label6
31.55,22.2,label6
30.95,22.65,label6
30.3,23.1,label6
29.6,23.15,label6
29.35,22.55,label6
29.2,23.85,label6
30.75,24,label6
30.95,24.15,label6
31.45,23.7,label6
31.95,23.15,label6
32.55,22.05,label6
32.6,22.55,label6
33.25,22.25,label6
33.65,21.9,label6
33.5,21.3,label6
33.1,20.75,label6
33.8,20.4,label6
33.85,20,label6
34.15,19.3,label6
34.85,18.85,label6
35.3,18.55,label6
35.4,19.35,label6
34.55,19.75,label6
35.05,20,label6
35.95,19.85,label6
36.35,20.6,label6
35.5,20.55,label6
34.45,20.65,label6
34.4,21.25,label6
35,21.05,label6
35.75,21.3,label6
35.05,21.5,label6
34.6,22.05,label6
34.2,21.75,label6
36.25,21.95,label6
35.7,22.3,label6
35.5,22.9,label6
35.85,23.25,label6
36.3,23.8,label6
35.45,24.1,label6
34.9,23.5,label6
34.2,22.9,label6
33.85,23.3,label6
33.25,23.35,label6
32.45,23.7,label6
33.6,23.9,label6
34.25,23.95,label6
34.25,24.1,label6
35.4,24.7,label6
35.15,25.3,label6
34.4,24.9,label6
33.7,24.85,label6
32.25,24.45,label6
32.5,24.7,label6
31.45,24.45,label6
31.55,25.2,label6
31.05,25,label6
30.25,24.3,label6
29.8,24.8,label6
29.6,25.5,label6
29.7,26.05,label6
30.5,25.5,label6
30.65,26,label6
31.25,26.05,label6
31.45,26.95,label6
30.75,26.9,label6
30.65,27.15,label6
31.25,27.85,label6
31.85,27.75,label6
32.7,28.2,label6
33.25,27.55,label6
32.4,27.1,label6
32.15,26.65,label6
32.35,25.95,label6
32.95,25.5,label6
33.85,26.05,label6
33.05,26.5,label6
33.65,27,label6
34.1,27.35,label6
34.2,27.95,label6
34.65,26.85,label6
35.25,26,label6
35.7,26.15,label6
34.4,25.6,label6
21.3,20.8,label1
20.15,20.9,label1
19.2,21.35,label1
19.1,21.85,label1
18.45,22.8,label1
18.75,22.95,label1
19.4,23,label1
19.55,22.25,label1
19.8,21.85,label1
20.5,21.85,label1
21.45,21.45,label1
21.7,21.9,label1
21.4,22.3,label1
21,22.6,label1
21.15,22.95,label1
20.5,22.85,label1
19.75,23.65,label1
19.2,23.7,label1
18.45,24.35,label1
20.65,23.85,label1
20.65,24.3,label1
19.7,24.6,label1
20.15,25.05,label1
22.15,25.1,label1
21.6,24.65,label1
21.7,23.8,label1
21.9,23.65,label1
22.55,23.5,label1
22.55,24.3,label1
23.3,24.45,label1
24.25,24.35,label1
23.8,25.25,label1
23.4,23.8,label1
22.9,23.2,label1
22.3,22.8,label1
22.2,22.4,label1
23.1,21.7,label1
22.85,21.9,label1
22.65,21.1,label1
23.15,22.6,label1
24.1,21.9,label1
24.7,22.2,label1
24.3,22.6,label1
24.15,23.3,label1
23.9,23.45,label1
5.2,2.15,label5
6.35,1.95,label5
6.75,2.3,label5
5.9,2.4,label5
5.4,2.7,label5
4.85,2.9,label5
4.85,3.35,label5
5.15,3.45,label5
5.7,3.45,label5
6.2,3,label5
6.2,3.2,label5
7.65,2.15,label5
7.2,2.75,label5
6.75,3.2,label5
6.75,3.55,label5
6.65,3.8,label5
5.8,4,label5
4.95,4.05,label5
5.1,4.35,label5
5.7,4.45,label5
5.45,4.85,label5
6.7,4.8,label5
6.55,5.05,label5
7.2,4.9,label5
6.2,4.25,label5
7.1,4.3,label5
7.85,4.5,label5
7.6,4.15,label5
7.25,3.55,label5
7.8,3.35,label5
8.05,2.75,label5
8.5,3.25,label5
8.1,3.55,label5
8.15,4,label5
